Grade,Classification,Jurisdiction,1/09/2022,1/03/2022,1/09/2021,1/09/2020,30/06/2020,1/09/2019,1/09/2017,1/09/2016,2/06/2016,1/09/2015
1.1,Junior Officer,Queensland,"43,099","42,048","41,023","40,021","40,566","39,316","37,618","36,700","37,105","35,805"
1.2,Junior Officer,Queensland,"45,262","44,159","43,081","42,030","42,521","41,271","39,684","38,716","39,072","37,772"
1.3,Junior Officer,Queensland,"47,957","46,789","45,648","44,534","44,998","43,748","41,743","40,725","41,031","39,731"
2.1,Junior Officer,Queensland,"53,890","52,575","51,292","50,039","50,395","49,145","46,428","45,296","45,493","44,193"
2.2,Junior Officer,Queensland,"55,236","53,890","52,575","51,292","51,620","50,370","47,501","46,342","46,513","45,213"
2.3,Junior Officer,Queensland,"56,642","55,260","53,911","52,596","52,898","51,648","48,599","47,415","47,559","46,259"
2.4,Junior Officer,Queensland,"58,075","56,658","55,275","53,927","54,201","52,951","49,711","48,497","48,616","47,316"
2.5,Junior Officer,Queensland,"59,450","57,999","56,585","55,205","55,479","54,229","50,848","49,609","49,698","48,398"
2.6,Junior Officer,Queensland,"60,882","59,397","57,950","56,535","56,782","55,532","52,046","50,775","50,836","49,536"
2.7,Junior Officer,Queensland,"62,429","60,905","59,421","57,970","58,190","56,940","53,384","52,082","52,111","50,811"
2.8,Junior Officer,Queensland,"64,169","62,604","61,078","59,588","59,780","58,530","54,863","53,525","53,520","52,220"
3.1,Junior Officer,Queensland,"68,414","66,744","65,116","63,527","63,639","62,389","58,638","57,209","57,113","55,813"
3.2,Junior Officer,Queensland,"70,887","69,157","67,470","65,823","65,907","64,657","60,898","59,413","59,265","57,965"
3.3,Junior Officer,Queensland,"73,444","71,652","69,904","68,197","68,228","66,978","63,152","61,612","61,410","60,110"
3.4,Junior Officer,Queensland,"75,915","74,062","72,257","70,493","70,496","69,246","65,385","63,791","63,536","62,236"
4.1,Officer,Queensland,"80,352","78,393","76,481","74,615","74,537","73,287","69,332","67,642","67,293","65,993"
4.2,Officer,Queensland,"82,909","80,887","78,915","76,989","76,857","75,607","71,628","69,880","69,477","68,177"
4.3,Officer,Queensland,"85,523","83,436","81,401","79,416","79,256","78,006","73,927","72,124","71,665","70,365"
4.4,Officer,Queensland,"88,109","85,959","83,861","81,816","81,602","80,352","76,238","74,378","73,865","72,565"
5.1,Officer,Queensland,"92,659","90,399","88,195","86,042","85,748","84,498","80,350","78,390","77,778","76,478"
5.2,Officer,Queensland,"95,273","92,948","90,681","88,469","88,146","86,896","82,685","80,668","80,001","78,701"
5.3,Officer,Queensland,"97,910","95,523","93,194","90,921","90,545","89,295","85,002","82,927","82,205","80,905"
5.4,Officer,Queensland,"100,499","98,046","95,654","93,321","92,891","91,641","87,334","85,205","84,426","83,126"
6.1,Senior Officer,Queensland,"105,977","103,392","100,869","98,409","97,897","96,647","92,189","89,940","89,046","87,746"
6.2,Senior Officer,Queensland,"108,362","105,719","103,141","100,626","100,087","98,837","94,347","92,046","91,099","89,799"
6.3,Senior Officer,Queensland,"110,780","108,077","105,442","102,870","102,277","101,027","96,494","94,141","93,145","91,845"
6.4,Senior Officer,Queensland,"113,167","110,407","107,715","105,088","104,467","103,217","98,636","96,230","95,182","93,882"
7.1,Principal Officer,Queensland,"118,198","115,315","112,502","109,758","109,055","107,805","103,154","100,639","99,484","98,184"
7.2,Principal Officer,Queensland,"121,036","118,083","115,202","112,393","111,636","110,386","105,646","103,068","101,853","100,553"
7.3,Principal Officer,Queensland,"123,817","120,796","117,851","114,975","114,165","112,915","108,135","105,497","104,225","102,925"
7.4,Principal Officer,Queensland,"126,567","123,481","120,470","117,532","116,694","115,444","110,613","107,916","106,583","105,283"
8.1,Manager,Queensland,"130,699","127,511","124,402","121,367","120,449","119,199","114,289","111,503","110,084","108,784"
8.2,Manager,Queensland,"133,230","129,979","126,810","123,715","122,743","121,493","116,502","113,661","112,187","110,887"
8.3,Manager,Queensland,"135,643","132,335","129,108","125,959","124,959","123,709","118,675","115,782","114,259","112,959"
8.4,Manager,Queensland,"138,117","134,749","131,461","128,255","127,201","125,951","120,879","117,931","116,354","115,054"
