Grade,Occ_Class,Jurisdiction,Salary,Date
1.1,Junior Officer,ACT,44366,9/04/2015
1.2,Junior Officer,ACT,45781,9/04/2015
1.3,Junior Officer,ACT,46966,9/04/2015
1.4,Junior Officer,ACT,48805,9/04/2015
2.1,Junior Officer,ACT,49927,9/04/2015
2.2,Junior Officer,ACT,51240,9/04/2015
2.3,Junior Officer,ACT,52531,9/04/2015
2.4,Junior Officer,ACT,53836,9/04/2015
2.5,Junior Officer,ACT,55130,9/04/2015
3.1,Junior Officer,ACT,56568,9/04/2015
3.2,Junior Officer,ACT,57983,9/04/2015
3.3,Junior Officer,ACT,59394,9/04/2015
3.4,Junior Officer,ACT,60880,9/04/2015
4.1,Junior Officer,ACT,62802,9/04/2015
4.2,Junior Officer,ACT,64728,9/04/2015
4.3,Junior Officer,ACT,66354,9/04/2015
4.4,Junior Officer,ACT,68002,9/04/2015
5.1,Officer,ACT,69797,9/04/2015
5.2,Officer,ACT,71913,9/04/2015
5.3,Officer,ACT,73881,9/04/2015
6.1,Senior Officer,ACT,75209,9/04/2015
6.2,Senior Officer,ACT,77031,9/04/2015
6.3,Senior Officer,ACT,79080,9/04/2015
6.4,Senior Officer,ACT,82947,9/04/2015
6.5,Senior Officer,ACT,86075,9/04/2015
SOGA1,Manager,ACT,129470,9/04/2015
SOGB1,Manager,ACT,111478,9/04/2015
SOGB2,Manager,ACT,117241,9/04/2015
SOGB3,Manager,ACT,125497,9/04/2015
SOGC1,Principal Officer,ACT,94653,9/04/2015
SOGC2,Principal Officer,ACT,101888,9/04/2015
1.1,Junior Officer,ACT,44366,7/10/2015
1.2,Junior Officer,ACT,45781,7/10/2015
1.3,Junior Officer,ACT,46966,7/10/2015
1.4,Junior Officer,ACT,48805,7/10/2015
2.1,Junior Officer,ACT,49927,7/10/2015
2.2,Junior Officer,ACT,51240,7/10/2015
2.3,Junior Officer,ACT,52531,7/10/2015
2.4,Junior Officer,ACT,53836,7/10/2015
2.5,Junior Officer,ACT,55130,7/10/2015
3.1,Junior Officer,ACT,56568,7/10/2015
3.2,Junior Officer,ACT,57983,7/10/2015
3.3,Junior Officer,ACT,59394,7/10/2015
3.4,Junior Officer,ACT,60880,7/10/2015
4.1,Junior Officer,ACT,62802,7/10/2015
4.2,Junior Officer,ACT,64728,7/10/2015
4.3,Junior Officer,ACT,66354,7/10/2015
4.4,Junior Officer,ACT,68002,7/10/2015
5.1,Officer,ACT,69797,7/10/2015
5.2,Officer,ACT,71913,7/10/2015
5.3,Officer,ACT,73881,7/10/2015
6.1,Senior Officer,ACT,75209,7/10/2015
6.2,Senior Officer,ACT,77031,7/10/2015
6.3,Senior Officer,ACT,79080,7/10/2015
6.4,Senior Officer,ACT,82947,7/10/2015
6.5,Senior Officer,ACT,86075,7/10/2015
SOGA1,Manager,ACT,129470,7/10/2015
SOGB1,Manager,ACT,111478,7/10/2015
SOGB2,Manager,ACT,117241,7/10/2015
SOGB3,Manager,ACT,125497,7/10/2015
SOGC1,Principal Officer,ACT,94653,7/10/2015
SOGC2,Principal Officer,ACT,101888,7/10/2015
1.1,Junior Officer,ACT,45031,8/10/2015
1.2,Junior Officer,ACT,46468,8/10/2015
1.3,Junior Officer,ACT,47670,8/10/2015
1.4,Junior Officer,ACT,49537,8/10/2015
2.1,Junior Officer,ACT,50676,8/10/2015
2.2,Junior Officer,ACT,52009,8/10/2015
2.3,Junior Officer,ACT,53319,8/10/2015
2.4,Junior Officer,ACT,54644,8/10/2015
2.5,Junior Officer,ACT,55957,8/10/2015
3.1,Junior Officer,ACT,57417,8/10/2015
3.2,Junior Officer,ACT,58853,8/10/2015
3.3,Junior Officer,ACT,60285,8/10/2015
3.4,Junior Officer,ACT,61793,8/10/2015
4.1,Junior Officer,ACT,63744,8/10/2015
4.2,Junior Officer,ACT,65699,8/10/2015
4.3,Junior Officer,ACT,67349,8/10/2015
4.4,Junior Officer,ACT,69022,8/10/2015
5.1,Officer,ACT,70844,8/10/2015
5.2,Officer,ACT,72992,8/10/2015
5.3,Officer,ACT,74989,8/10/2015
6.1,Senior Officer,ACT,76337,8/10/2015
6.2,Senior Officer,ACT,78186,8/10/2015
6.3,Senior Officer,ACT,80266,8/10/2015
6.4,Senior Officer,ACT,84191,8/10/2015
6.5,Senior Officer,ACT,87366,8/10/2015
SOGA1,Manager,ACT,131412,8/10/2015
SOGB1,Manager,ACT,113150,8/10/2015
SOGB2,Manager,ACT,119000,8/10/2015
SOGB3,Manager,ACT,127379,8/10/2015
SOGC1,Principal Officer,ACT,96073,8/10/2015
SOGC2,Principal Officer,ACT,103416,8/10/2015
1.1,Junior Officer,ACT,45031,6/04/2016
1.2,Junior Officer,ACT,46468,6/04/2016
1.3,Junior Officer,ACT,47670,6/04/2016
1.4,Junior Officer,ACT,49537,6/04/2016
2.1,Junior Officer,ACT,50676,6/04/2016
2.2,Junior Officer,ACT,52009,6/04/2016
2.3,Junior Officer,ACT,53319,6/04/2016
2.4,Junior Officer,ACT,54644,6/04/2016
2.5,Junior Officer,ACT,55957,6/04/2016
3.1,Junior Officer,ACT,57417,6/04/2016
3.2,Junior Officer,ACT,58853,6/04/2016
3.3,Junior Officer,ACT,60285,6/04/2016
3.4,Junior Officer,ACT,61793,6/04/2016
4.1,Junior Officer,ACT,63744,6/04/2016
4.2,Junior Officer,ACT,65699,6/04/2016
4.3,Junior Officer,ACT,67349,6/04/2016
4.4,Junior Officer,ACT,69022,6/04/2016
5.1,Officer,ACT,70844,6/04/2016
5.2,Officer,ACT,72992,6/04/2016
5.3,Officer,ACT,74989,6/04/2016
6.1,Senior Officer,ACT,76337,6/04/2016
6.2,Senior Officer,ACT,78186,6/04/2016
6.3,Senior Officer,ACT,80266,6/04/2016
6.4,Senior Officer,ACT,84191,6/04/2016
6.5,Senior Officer,ACT,87366,6/04/2016
SOGA1,Manager,ACT,131412,6/04/2016
SOGB1,Manager,ACT,113150,6/04/2016
SOGB2,Manager,ACT,119000,6/04/2016
SOGB3,Manager,ACT,127379,6/04/2016
SOGC1,Principal Officer,ACT,96073,6/04/2016
SOGC2,Principal Officer,ACT,103416,6/04/2016
1.1,Junior Officer,ACT,45706,7/04/2016
1.2,Junior Officer,ACT,47165,7/04/2016
1.3,Junior Officer,ACT,48385,7/04/2016
1.4,Junior Officer,ACT,50280,7/04/2016
2.1,Junior Officer,ACT,51436,7/04/2016
2.2,Junior Officer,ACT,52789,7/04/2016
2.3,Junior Officer,ACT,54119,7/04/2016
2.4,Junior Officer,ACT,55464,7/04/2016
2.5,Junior Officer,ACT,56796,7/04/2016
3.1,Junior Officer,ACT,58278,7/04/2016
3.2,Junior Officer,ACT,59736,7/04/2016
3.3,Junior Officer,ACT,61189,7/04/2016
3.4,Junior Officer,ACT,62720,7/04/2016
4.1,Junior Officer,ACT,64700,7/04/2016
4.2,Junior Officer,ACT,66684,7/04/2016
4.3,Junior Officer,ACT,68359,7/04/2016
4.4,Junior Officer,ACT,70057,7/04/2016
5.1,Officer,ACT,71907,7/04/2016
5.2,Officer,ACT,74087,7/04/2016
5.3,Officer,ACT,76114,7/04/2016
6.1,Senior Officer,ACT,77482,7/04/2016
6.2,Senior Officer,ACT,79359,7/04/2016
6.3,Senior Officer,ACT,81470,7/04/2016
6.4,Senior Officer,ACT,85454,7/04/2016
6.5,Senior Officer,ACT,88676,7/04/2016
SOGA1,Manager,ACT,133383,7/04/2016
SOGB1,Manager,ACT,114847,7/04/2016
SOGB2,Manager,ACT,120785,7/04/2016
SOGB3,Manager,ACT,129290,7/04/2016
SOGC1,Principal Officer,ACT,97514,7/04/2016
SOGC2,Principal Officer,ACT,104967,7/04/2016
1.1,Junior Officer,ACT,45706,5/10/2016
1.2,Junior Officer,ACT,47165,5/10/2016
1.3,Junior Officer,ACT,48385,5/10/2016
1.4,Junior Officer,ACT,50280,5/10/2016
2.1,Junior Officer,ACT,51436,5/10/2016
2.2,Junior Officer,ACT,52789,5/10/2016
2.3,Junior Officer,ACT,54119,5/10/2016
2.4,Junior Officer,ACT,55464,5/10/2016
2.5,Junior Officer,ACT,56796,5/10/2016
3.1,Junior Officer,ACT,58278,5/10/2016
3.2,Junior Officer,ACT,59736,5/10/2016
3.3,Junior Officer,ACT,61189,5/10/2016
3.4,Junior Officer,ACT,62720,5/10/2016
4.1,Junior Officer,ACT,64700,5/10/2016
4.2,Junior Officer,ACT,66684,5/10/2016
4.3,Junior Officer,ACT,68359,5/10/2016
4.4,Junior Officer,ACT,70057,5/10/2016
5.1,Officer,ACT,71907,5/10/2016
5.2,Officer,ACT,74087,5/10/2016
5.3,Officer,ACT,76114,5/10/2016
6.1,Senior Officer,ACT,77482,5/10/2016
6.2,Senior Officer,ACT,79359,5/10/2016
6.3,Senior Officer,ACT,81470,5/10/2016
6.4,Senior Officer,ACT,85454,5/10/2016
6.5,Senior Officer,ACT,88676,5/10/2016
SOGA1,Manager,ACT,133383,5/10/2016
SOGB1,Manager,ACT,114847,5/10/2016
SOGB2,Manager,ACT,120785,5/10/2016
SOGB3,Manager,ACT,129290,5/10/2016
SOGC1,Principal Officer,ACT,97514,5/10/2016
SOGC2,Principal Officer,ACT,104967,5/10/2016
1.1,Junior Officer,ACT,46392,6/10/2016
1.2,Junior Officer,ACT,47872,6/10/2016
1.3,Junior Officer,ACT,49111,6/10/2016
1.4,Junior Officer,ACT,51034,6/10/2016
2.1,Junior Officer,ACT,52208,6/10/2016
2.2,Junior Officer,ACT,53581,6/10/2016
2.3,Junior Officer,ACT,54931,6/10/2016
2.4,Junior Officer,ACT,56296,6/10/2016
2.5,Junior Officer,ACT,57648,6/10/2016
3.1,Junior Officer,ACT,59152,6/10/2016
3.2,Junior Officer,ACT,60632,6/10/2016
3.3,Junior Officer,ACT,62107,6/10/2016
3.4,Junior Officer,ACT,63661,6/10/2016
4.1,Junior Officer,ACT,65671,6/10/2016
4.2,Junior Officer,ACT,67684,6/10/2016
4.3,Junior Officer,ACT,69384,6/10/2016
4.4,Junior Officer,ACT,71108,6/10/2016
5.1,Officer,ACT,72986,6/10/2016
5.2,Officer,ACT,75198,6/10/2016
5.3,Officer,ACT,77256,6/10/2016
6.1,Senior Officer,ACT,78644,6/10/2016
6.2,Senior Officer,ACT,80549,6/10/2016
6.3,Senior Officer,ACT,82692,6/10/2016
6.4,Senior Officer,ACT,86736,6/10/2016
6.5,Senior Officer,ACT,90006,6/10/2016
SOGA1,Manager,ACT,135384,6/10/2016
SOGB1,Manager,ACT,116570,6/10/2016
SOGB2,Manager,ACT,122597,6/10/2016
SOGB3,Manager,ACT,131229,6/10/2016
SOGC1,Principal Officer,ACT,98977,6/10/2016
SOGC2,Principal Officer,ACT,106542,6/10/2016
1.1,Junior Officer,ACT,46392,5/04/2017
1.2,Junior Officer,ACT,47872,5/04/2017
1.3,Junior Officer,ACT,49111,5/04/2017
1.4,Junior Officer,ACT,51034,5/04/2017
2.1,Junior Officer,ACT,52208,5/04/2017
2.2,Junior Officer,ACT,53581,5/04/2017
2.3,Junior Officer,ACT,54931,5/04/2017
2.4,Junior Officer,ACT,56296,5/04/2017
2.5,Junior Officer,ACT,57648,5/04/2017
3.1,Junior Officer,ACT,59152,5/04/2017
3.2,Junior Officer,ACT,60632,5/04/2017
3.3,Junior Officer,ACT,62107,5/04/2017
3.4,Junior Officer,ACT,63661,5/04/2017
4.1,Junior Officer,ACT,65671,5/04/2017
4.2,Junior Officer,ACT,67684,5/04/2017
4.3,Junior Officer,ACT,69384,5/04/2017
4.4,Junior Officer,ACT,71108,5/04/2017
5.1,Officer,ACT,72986,5/04/2017
5.2,Officer,ACT,75198,5/04/2017
5.3,Officer,ACT,77256,5/04/2017
6.1,Senior Officer,ACT,78644,5/04/2017
6.2,Senior Officer,ACT,80549,5/04/2017
6.3,Senior Officer,ACT,82692,5/04/2017
6.4,Senior Officer,ACT,86736,5/04/2017
6.5,Senior Officer,ACT,90006,5/04/2017
SOGA1,Manager,ACT,135384,5/04/2017
SOGB1,Manager,ACT,116570,5/04/2017
SOGB2,Manager,ACT,122597,5/04/2017
SOGB3,Manager,ACT,131229,5/04/2017
SOGC1,Principal Officer,ACT,98977,5/04/2017
SOGC2,Principal Officer,ACT,106542,5/04/2017
1.1,Junior Officer,ACT,47088,6/04/2017
1.2,Junior Officer,ACT,48590,6/04/2017
1.3,Junior Officer,ACT,49848,6/04/2017
1.4,Junior Officer,ACT,51800,6/04/2017
2.1,Junior Officer,ACT,52991,6/04/2017
2.2,Junior Officer,ACT,54385,6/04/2017
2.3,Junior Officer,ACT,55755,6/04/2017
2.4,Junior Officer,ACT,57140,6/04/2017
2.5,Junior Officer,ACT,58513,6/04/2017
3.1,Junior Officer,ACT,60039,6/04/2017
3.2,Junior Officer,ACT,61541,6/04/2017
3.3,Junior Officer,ACT,63039,6/04/2017
3.4,Junior Officer,ACT,64616,6/04/2017
4.1,Junior Officer,ACT,66656,6/04/2017
4.2,Junior Officer,ACT,68699,6/04/2017
4.3,Junior Officer,ACT,70425,6/04/2017
4.4,Junior Officer,ACT,72175,6/04/2017
5.1,Officer,ACT,74081,6/04/2017
5.2,Officer,ACT,76326,6/04/2017
5.3,Officer,ACT,78415,6/04/2017
6.1,Senior Officer,ACT,79824,6/04/2017
6.2,Senior Officer,ACT,81757,6/04/2017
6.3,Senior Officer,ACT,83932,6/04/2017
6.4,Senior Officer,ACT,88037,6/04/2017
6.5,Senior Officer,ACT,91356,6/04/2017
SOGA1,Manager,ACT,137415,6/04/2017
SOGB1,Manager,ACT,118319,6/04/2017
SOGB2,Manager,ACT,124436,6/04/2017
SOGB3,Manager,ACT,133197,6/04/2017
SOGC1,Principal Officer,ACT,100462,6/04/2017
SOGC2,Principal Officer,ACT,108140,6/04/2017
1.1,Junior Officer,ACT,47088,4/10/2017
1.2,Junior Officer,ACT,48590,4/10/2017
1.3,Junior Officer,ACT,49848,4/10/2017
1.4,Junior Officer,ACT,51800,4/10/2017
2.1,Junior Officer,ACT,52991,4/10/2017
2.2,Junior Officer,ACT,54385,4/10/2017
2.3,Junior Officer,ACT,55755,4/10/2017
2.4,Junior Officer,ACT,57140,4/10/2017
2.5,Junior Officer,ACT,58513,4/10/2017
3.1,Junior Officer,ACT,60039,4/10/2017
3.2,Junior Officer,ACT,61541,4/10/2017
3.3,Junior Officer,ACT,63039,4/10/2017
3.4,Junior Officer,ACT,64616,4/10/2017
4.1,Junior Officer,ACT,66656,4/10/2017
4.2,Junior Officer,ACT,68699,4/10/2017
4.3,Junior Officer,ACT,70425,4/10/2017
4.4,Junior Officer,ACT,72175,4/10/2017
5.1,Officer,ACT,74081,4/10/2017
5.2,Officer,ACT,76326,4/10/2017
5.3,Officer,ACT,78415,4/10/2017
6.1,Senior Officer,ACT,79824,4/10/2017
6.2,Senior Officer,ACT,81757,4/10/2017
6.3,Senior Officer,ACT,83932,4/10/2017
6.4,Senior Officer,ACT,88037,4/10/2017
6.5,Senior Officer,ACT,91356,4/10/2017
SOGA1,Manager,ACT,137415,4/10/2017
SOGB1,Manager,ACT,118319,4/10/2017
SOGB2,Manager,ACT,124436,4/10/2017
SOGB3,Manager,ACT,133197,4/10/2017
SOGC1,Principal Officer,ACT,100462,4/10/2017
SOGC2,Principal Officer,ACT,108140,4/10/2017
1.1,Junior Officer,ACT,48147,5/10/2017
1.2,Junior Officer,ACT,49683,5/10/2017
1.3,Junior Officer,ACT,50970,5/10/2017
1.4,Junior Officer,ACT,52966,5/10/2017
2.1,Junior Officer,ACT,54183,5/10/2017
2.2,Junior Officer,ACT,55609,5/10/2017
2.3,Junior Officer,ACT,57009,5/10/2017
2.4,Junior Officer,ACT,58426,5/10/2017
2.5,Junior Officer,ACT,59830,5/10/2017
3.1,Junior Officer,ACT,61390,5/10/2017
3.2,Junior Officer,ACT,62926,5/10/2017
3.3,Junior Officer,ACT,64457,5/10/2017
3.4,Junior Officer,ACT,66070,5/10/2017
4.1,Junior Officer,ACT,68156,5/10/2017
4.2,Junior Officer,ACT,70245,5/10/2017
4.3,Junior Officer,ACT,72010,5/10/2017
4.4,Junior Officer,ACT,73799,5/10/2017
5.1,Officer,ACT,75748,5/10/2017
5.2,Officer,ACT,78043,5/10/2017
5.3,Officer,ACT,80179,5/10/2017
6.1,Senior Officer,ACT,81620,5/10/2017
6.2,Senior Officer,ACT,83597,5/10/2017
6.3,Senior Officer,ACT,85820,5/10/2017
6.4,Senior Officer,ACT,90018,5/10/2017
6.5,Senior Officer,ACT,93412,5/10/2017
SOGA1,Manager,ACT,140507,5/10/2017
SOGB1,Manager,ACT,120981,5/10/2017
SOGB2,Manager,ACT,127236,5/10/2017
SOGB3,Manager,ACT,136194,5/10/2017
SOGC1,Principal Officer,ACT,102722,5/10/2017
SOGC2,Principal Officer,ACT,110573,5/10/2017
1.1,Junior Officer,ACT,48147,13/06/2018
1.2,Junior Officer,ACT,49683,13/06/2018
1.3,Junior Officer,ACT,50970,13/06/2018
1.4,Junior Officer,ACT,52966,13/06/2018
2.1,Junior Officer,ACT,54183,13/06/2018
2.2,Junior Officer,ACT,55609,13/06/2018
2.3,Junior Officer,ACT,57009,13/06/2018
2.4,Junior Officer,ACT,58426,13/06/2018
2.5,Junior Officer,ACT,59830,13/06/2018
3.1,Junior Officer,ACT,61390,13/06/2018
3.2,Junior Officer,ACT,62926,13/06/2018
3.3,Junior Officer,ACT,64457,13/06/2018
3.4,Junior Officer,ACT,66070,13/06/2018
4.1,Junior Officer,ACT,68156,13/06/2018
4.2,Junior Officer,ACT,70245,13/06/2018
4.3,Junior Officer,ACT,72010,13/06/2018
4.4,Junior Officer,ACT,73799,13/06/2018
5.1,Officer,ACT,75748,13/06/2018
5.2,Officer,ACT,78043,13/06/2018
5.3,Officer,ACT,80179,13/06/2018
6.1,Senior Officer,ACT,81620,13/06/2018
6.2,Senior Officer,ACT,83597,13/06/2018
6.3,Senior Officer,ACT,85820,13/06/2018
6.4,Senior Officer,ACT,90018,13/06/2018
6.5,Senior Officer,ACT,93412,13/06/2018
SOGA1,Manager,ACT,140507,13/06/2018
SOGB1,Manager,ACT,120981,13/06/2018
SOGB2,Manager,ACT,127236,13/06/2018
SOGB3,Manager,ACT,136194,13/06/2018
SOGC1,Principal Officer,ACT,102722,13/06/2018
SOGC2,Principal Officer,ACT,110573,13/06/2018
1.1,Junior Officer,ACT,48388,14/06/2018
1.2,Junior Officer,ACT,49931,14/06/2018
1.3,Junior Officer,ACT,51225,14/06/2018
1.4,Junior Officer,ACT,53231,14/06/2018
2.1,Junior Officer,ACT,54454,14/06/2018
2.2,Junior Officer,ACT,55887,14/06/2018
2.3,Junior Officer,ACT,57294,14/06/2018
2.4,Junior Officer,ACT,58718,14/06/2018
2.5,Junior Officer,ACT,60129,14/06/2018
3.1,Junior Officer,ACT,61697,14/06/2018
3.2,Junior Officer,ACT,63241,14/06/2018
3.3,Junior Officer,ACT,64779,14/06/2018
3.4,Junior Officer,ACT,66400,14/06/2018
4.1,Junior Officer,ACT,68497,14/06/2018
4.2,Junior Officer,ACT,70596,14/06/2018
4.3,Junior Officer,ACT,72370,14/06/2018
4.4,Junior Officer,ACT,74168,14/06/2018
5.1,Officer,ACT,76127,14/06/2018
5.2,Officer,ACT,78433,14/06/2018
5.3,Officer,ACT,80580,14/06/2018
6.1,Senior Officer,ACT,82028,14/06/2018
6.2,Senior Officer,ACT,84015,14/06/2018
6.3,Senior Officer,ACT,86249,14/06/2018
6.4,Senior Officer,ACT,90468,14/06/2018
6.5,Senior Officer,ACT,93879,14/06/2018
SOGA1,Manager,ACT,141210,14/06/2018
SOGB1,Manager,ACT,121586,14/06/2018
SOGB2,Manager,ACT,127872,14/06/2018
SOGB3,Manager,ACT,136875,14/06/2018
SOGC1,Principal Officer,ACT,103236,14/06/2018
SOGC2,Principal Officer,ACT,111126,14/06/2018
1.1,Junior Officer,ACT,48388,12/12/2018
1.2,Junior Officer,ACT,49931,12/12/2018
1.3,Junior Officer,ACT,51225,12/12/2018
1.4,Junior Officer,ACT,53231,12/12/2018
2.1,Junior Officer,ACT,54454,12/12/2018
2.2,Junior Officer,ACT,55887,12/12/2018
2.3,Junior Officer,ACT,57294,12/12/2018
2.4,Junior Officer,ACT,58718,12/12/2018
2.5,Junior Officer,ACT,60129,12/12/2018
3.1,Junior Officer,ACT,61697,12/12/2018
3.2,Junior Officer,ACT,63241,12/12/2018
3.3,Junior Officer,ACT,64779,12/12/2018
3.4,Junior Officer,ACT,66400,12/12/2018
4.1,Junior Officer,ACT,68497,12/12/2018
4.2,Junior Officer,ACT,70596,12/12/2018
4.3,Junior Officer,ACT,72370,12/12/2018
4.4,Junior Officer,ACT,74168,12/12/2018
5.1,Officer,ACT,76127,12/12/2018
5.2,Officer,ACT,78433,12/12/2018
5.3,Officer,ACT,80580,12/12/2018
6.1,Senior Officer,ACT,82028,12/12/2018
6.2,Senior Officer,ACT,84015,12/12/2018
6.3,Senior Officer,ACT,86249,12/12/2018
6.4,Senior Officer,ACT,90468,12/12/2018
6.5,Senior Officer,ACT,93879,12/12/2018
SOGA1,Manager,ACT,141210,12/12/2018
SOGB1,Manager,ACT,121586,12/12/2018
SOGB2,Manager,ACT,127872,12/12/2018
SOGB3,Manager,ACT,136875,12/12/2018
SOGC1,Principal Officer,ACT,103236,12/12/2018
SOGC2,Principal Officer,ACT,111126,12/12/2018
1.1,Junior Officer,ACT,49041,13/12/2018
1.2,Junior Officer,ACT,50605,13/12/2018
1.3,Junior Officer,ACT,51917,13/12/2018
1.4,Junior Officer,ACT,53950,13/12/2018
2.1,Junior Officer,ACT,55189,13/12/2018
2.2,Junior Officer,ACT,56641,13/12/2018
2.3,Junior Officer,ACT,58067,13/12/2018
2.4,Junior Officer,ACT,59511,13/12/2018
2.5,Junior Officer,ACT,60941,13/12/2018
3.1,Junior Officer,ACT,62530,13/12/2018
3.2,Junior Officer,ACT,64095,13/12/2018
3.3,Junior Officer,ACT,65654,13/12/2018
3.4,Junior Officer,ACT,67296,13/12/2018
4.1,Junior Officer,ACT,69422,13/12/2018
4.2,Junior Officer,ACT,71549,13/12/2018
4.3,Junior Officer,ACT,73347,13/12/2018
4.4,Junior Officer,ACT,75169,13/12/2018
5.1,Officer,ACT,77155,13/12/2018
5.2,Officer,ACT,79492,13/12/2018
5.3,Officer,ACT,81668,13/12/2018
6.1,Senior Officer,ACT,83135,13/12/2018
6.2,Senior Officer,ACT,85149,13/12/2018
6.3,Senior Officer,ACT,87413,13/12/2018
6.4,Senior Officer,ACT,91689,13/12/2018
6.5,Senior Officer,ACT,95146,13/12/2018
SOGA1,Manager,ACT,143116,13/12/2018
SOGB1,Manager,ACT,123227,13/12/2018
SOGB2,Manager,ACT,129598,13/12/2018
SOGB3,Manager,ACT,138723,13/12/2018
SOGC1,Principal Officer,ACT,104630,13/12/2018
SOGC2,Principal Officer,ACT,112626,13/12/2018
1.1,Junior Officer,ACT,49041,12/06/2019
1.2,Junior Officer,ACT,50605,12/06/2019
1.3,Junior Officer,ACT,51917,12/06/2019
1.4,Junior Officer,ACT,53950,12/06/2019
2.1,Junior Officer,ACT,55189,12/06/2019
2.2,Junior Officer,ACT,56641,12/06/2019
2.3,Junior Officer,ACT,58067,12/06/2019
2.4,Junior Officer,ACT,59511,12/06/2019
2.5,Junior Officer,ACT,60941,12/06/2019
3.1,Junior Officer,ACT,62530,12/06/2019
3.2,Junior Officer,ACT,64095,12/06/2019
3.3,Junior Officer,ACT,65654,12/06/2019
3.4,Junior Officer,ACT,67296,12/06/2019
4.1,Junior Officer,ACT,69422,12/06/2019
4.2,Junior Officer,ACT,71549,12/06/2019
4.3,Junior Officer,ACT,73347,12/06/2019
4.4,Junior Officer,ACT,75169,12/06/2019
5.1,Officer,ACT,77155,12/06/2019
5.2,Officer,ACT,79492,12/06/2019
5.3,Officer,ACT,81668,12/06/2019
6.1,Senior Officer,ACT,83135,12/06/2019
6.2,Senior Officer,ACT,85149,12/06/2019
6.3,Senior Officer,ACT,87413,12/06/2019
6.4,Senior Officer,ACT,91689,12/06/2019
6.5,Senior Officer,ACT,95146,12/06/2019
SOGA1,Manager,ACT,143116,12/06/2019
SOGB1,Manager,ACT,123227,12/06/2019
SOGB2,Manager,ACT,129598,12/06/2019
SOGB3,Manager,ACT,138723,12/06/2019
SOGC1,Principal Officer,ACT,104630,12/06/2019
SOGC2,Principal Officer,ACT,112626,12/06/2019
1.1,Junior Officer,ACT,49703,13/06/2019
1.2,Junior Officer,ACT,51288,13/06/2019
1.3,Junior Officer,ACT,52618,13/06/2019
1.4,Junior Officer,ACT,54678,13/06/2019
2.1,Junior Officer,ACT,55934,13/06/2019
2.2,Junior Officer,ACT,57406,13/06/2019
2.3,Junior Officer,ACT,58851,13/06/2019
2.4,Junior Officer,ACT,60314,13/06/2019
2.5,Junior Officer,ACT,61764,13/06/2019
3.1,Junior Officer,ACT,63374,13/06/2019
3.2,Junior Officer,ACT,64960,13/06/2019
3.3,Junior Officer,ACT,66540,13/06/2019
3.4,Junior Officer,ACT,68204,13/06/2019
4.1,Junior Officer,ACT,70359,13/06/2019
4.2,Junior Officer,ACT,72515,13/06/2019
4.3,Junior Officer,ACT,74337,13/06/2019
4.4,Junior Officer,ACT,76184,13/06/2019
5.1,Officer,ACT,78197,13/06/2019
5.2,Officer,ACT,80565,13/06/2019
5.3,Officer,ACT,82771,13/06/2019
6.1,Senior Officer,ACT,84257,13/06/2019
6.2,Senior Officer,ACT,86299,13/06/2019
6.3,Senior Officer,ACT,88593,13/06/2019
6.4,Senior Officer,ACT,92927,13/06/2019
6.5,Senior Officer,ACT,96430,13/06/2019
SOGA1,Manager,ACT,145048,13/06/2019
SOGB1,Manager,ACT,124891,13/06/2019
SOGB2,Manager,ACT,131348,13/06/2019
SOGB3,Manager,ACT,140596,13/06/2019
SOGC1,Principal Officer,ACT,106043,13/06/2019
SOGC2,Principal Officer,ACT,114146,13/06/2019
1.1,Junior Officer,ACT,49703,11/12/2019
1.2,Junior Officer,ACT,51288,11/12/2019
1.3,Junior Officer,ACT,52618,11/12/2019
1.4,Junior Officer,ACT,54678,11/12/2019
2.1,Junior Officer,ACT,55934,11/12/2019
2.2,Junior Officer,ACT,57406,11/12/2019
2.3,Junior Officer,ACT,58851,11/12/2019
2.4,Junior Officer,ACT,60314,11/12/2019
2.5,Junior Officer,ACT,61764,11/12/2019
3.1,Junior Officer,ACT,63374,11/12/2019
3.2,Junior Officer,ACT,64960,11/12/2019
3.3,Junior Officer,ACT,66540,11/12/2019
3.4,Junior Officer,ACT,68204,11/12/2019
4.1,Junior Officer,ACT,70359,11/12/2019
4.2,Junior Officer,ACT,72515,11/12/2019
4.3,Junior Officer,ACT,74337,11/12/2019
4.4,Junior Officer,ACT,76184,11/12/2019
5.1,Officer,ACT,78197,11/12/2019
5.2,Officer,ACT,80565,11/12/2019
5.3,Officer,ACT,82771,11/12/2019
6.1,Senior Officer,ACT,84257,11/12/2019
6.2,Senior Officer,ACT,86299,11/12/2019
6.3,Senior Officer,ACT,88593,11/12/2019
6.4,Senior Officer,ACT,92927,11/12/2019
6.5,Senior Officer,ACT,96430,11/12/2019
SOGA1,Manager,ACT,145048,11/12/2019
SOGB1,Manager,ACT,124891,11/12/2019
SOGB2,Manager,ACT,131348,11/12/2019
SOGB3,Manager,ACT,140596,11/12/2019
SOGC1,Principal Officer,ACT,106043,11/12/2019
SOGC2,Principal Officer,ACT,114146,11/12/2019
1.1,Junior Officer,ACT,50374,12/12/2019
1.2,Junior Officer,ACT,51980,12/12/2019
1.3,Junior Officer,ACT,53328,12/12/2019
1.4,Junior Officer,ACT,55416,12/12/2019
2.1,Junior Officer,ACT,56689,12/12/2019
2.2,Junior Officer,ACT,58181,12/12/2019
2.3,Junior Officer,ACT,59645,12/12/2019
