Grade,Classification,Jurisdiction,1/03/2023,1/06/2022,1/09/2021,1/12/2020,20/03/2020,1/07/2019,1/07/2019,1/01/2019,1/01/2019,1/07/2018,1/01/2018,1/07/2017,1/01/2017,1/07/2016,1/01/2016
5.2.1,Senior Officer,Victoria,"116,552","114,830","113,412","111,736","110,357","108,726","108,726","107,119","107,119","105,277","103,721","101,937","100,431","98,704","97,245"
5.2.2,Senior Officer,Victoria,"127,621","125,735","124,183","122,348","120,838","119,052","119,052","117,293","117,293","115,276","113,572","111,619","109,969","108,078","106,481"
6.1.1,Manager,Victoria,"129,379","127,467","125,893","124,033","122,502","120,692","120,692","118,908","118,908","116,863","115,136","113,156","111,484","109,567","107,948"
6.1.2,Manager,Victoria,"151,259","149,024","147,184","145,009","143,219","141,102","141,102","139,017","139,017","136,626","134,607","132,292","130,337","128,095","126,202"
6.2.1,Manager,Victoria,"151,260","149,025","147,185","145,010","143,220","141,103","141,103","139,018","139,018","136,627","134,608","132,293","130,338","128,096","126,203"
6.2.2,Manager,Victoria,"173,138","170,579","168,473","165,983","163,934","161,511","161,511","159,124","159,124","156,387","154,076","151,426","149,188","146,622","144,455"
7.1.1,Specialist,Victoria,"175,731","173,134","170,997","168,470","166,390","163,931","163,931","161,508","161,508","158,730","156,384","153,694","151,423","148,819","146,620"
7.1.2,Specialist,Victoria,"196,817","193,908","191,514","188,684","186,355","183,601","183,601","180,888","180,888","177,777","175,150","172,138","169,594","166,677","164,214"
7.2.1,Specialist,Victoria,"196,821","193,912","191,518","188,688","186,359","183,605","183,605","180,892","180,892","177,781","175,154","172,142","169,598","166,681","164,218"
7.2.2,Specialist,Victoria,"217,908","214,688","212,038","208,904","206,325","203,276","203,276","200,272","200,272","196,828","193,919","190,584","187,767","184,538","181,811"
7.3.1,Specialist,Victoria,"217,908","214,688","212,038","208,904","206,325","203,276","203,276","200,272","200,272","196,828","193,919","190,584","187,767","184,538","181,811"
7.3.2,Specialist,Victoria,"238,997","235,465","232,558","229,121","226,292","222,948","222,948","219,653","219,653","215,875","212,685","209,027","205,938","202,396","199,405"
